Date : 2023-05-13 09:50:15
Directory : c:\xampp\htdocs\charity
Total : 1989 files,  545970 codes, 77220 comments, 88068 blanks, all 711258 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| plugins\codemirror\mode\cobol                                                                   |          1 |        240 |         10 |          6 |        256 |
| plugins\codemirror\mode\coffeescript                                                            |          1 |        291 |         25 |         44 |        360 |
| plugins\codemirror\mode\commonlisp                                                              |          1 |        108 |          2 |         15 |        125 |
| plugins\codemirror\mode\crystal                                                                 |          1 |        347 |         20 |         67 |        434 |
| plugins\codemirror\mode\css                                                                     |          1 |        798 |          8 |         59 |        865 |
| plugins\codemirror\mode\cypher                                                                  |          1 |        140 |          4 |          8 |        152 |
| plugins\codemirror\mode\d                                                                       |          1 |        202 |          3 |         19 |        224 |
| plugins\codemirror\mode\dart                                                                    |          1 |        142 |          8 |         17 |        167 |
| plugins\codemirror\mode\diff                                                                    |          1 |         35 |          2 |         11 |         48 |
| plugins\codemirror\mode\django                                                                  |          1 |        266 |         45 |         46 |        357 |
| plugins\codemirror\mode\dockerfile                                                              |          1 |        193 |         10 |          9 |        212 |
| plugins\codemirror\mode\dtd                                                                     |          1 |        116 |          9 |         18 |        143 |
| plugins\codemirror\mode\dylan                                                                   |          1 |        276 |         44 |         33 |        353 |
| plugins\codemirror\mode\ebnf                                                                    |          1 |        171 |          9 |         16 |        196 |
| plugins\codemirror\mode\ecl                                                                     |          1 |        184 |          3 |         20 |        207 |
| plugins\codemirror\mode\eiffel                                                                  |          1 |        105 |         52 |          4 |        161 |
| plugins\codemirror\mode\elm                                                                     |          1 |        215 |          2 |         27 |        244 |
| plugins\codemirror\mode\erlang                                                                  |          1 |        471 |         63 |         86 |        620 |
| plugins\codemirror\mode\factor                                                                  |          1 |         58 |         23 |          5 |         86 |
| plugins\codemirror\mode\fcl                                                                     |          1 |        143 |          3 |         28 |        174 |
| plugins\codemirror\mode\forth                                                                   |          1 |        155 |         12 |         14 |        181 |
| plugins\codemirror\mode\fortran                                                                 |          1 |        171 |          3 |         15 |        189 |
| plugins\codemirror\mode\gas                                                                     |          1 |        288 |         17 |         41 |        346 |
| plugins\codemirror\mode\gfm                                                                     |          1 |        107 |         15 |          8 |        130 |
| plugins\codemirror\mode\gherkin                                                                 |          1 |        124 |         30 |         25 |        179 |
| plugins\codemirror\mode\go                                                                      |          1 |        166 |          3 |         19 |        188 |
| plugins\codemirror\mode\groovy                                                                  |          1 |        212 |          5 |         17 |        234 |
| plugins\codemirror\mode\haml                                                                    |          1 |        133 |         13 |         16 |        162 |
| plugins\codemirror\mode\handlebars                                                              |          1 |         52 |          8 |         11 |         71 |
| plugins\codemirror\mode\haskell                                                                 |          1 |        231 |          3 |         35 |        269 |
| plugins\codemirror\mode\haskell-literate                                                        |          1 |         37 |          2 |          5 |         44 |
| plugins\codemirror\mode\haxe                                                                    |          1 |        450 |         13 |         53 |        516 |
| plugins\codemirror\mode\htmlembedded                                                            |          1 |         32 |          2 |          4 |         38 |
| plugins\codemirror\mode\htmlmixed                                                               |          1 |        134 |          2 |         18 |        154 |
| plugins\codemirror\mode\http                                                                    |          1 |         96 |          2 |         16 |        114 |
| plugins\codemirror\mode\idl                                                                     |          1 |        266 |          8 |         17 |        291 |
| plugins\codemirror\mode\javascript                                                              |          1 |        875 |         22 |         46 |        943 |
| plugins\codemirror\mode\jinja2                                                                  |          1 |        129 |          8 |         10 |        147 |
| plugins\codemirror\mode\jsx                                                                     |          1 |         65 |         73 |         11 |        149 |
| plugins\codemirror\mode\julia                                                                   |          1 |        346 |         23 |         58 |        427 |
| plugins\codemirror\mode\livescript                                                              |          1 |        268 |          6 |          7 |        281 |
| plugins\codemirror\mode\lua                                                                     |          1 |        128 |          6 |         26 |        160 |
| plugins\codemirror\mode\markdown                                                                |          1 |        730 |         46 |        111 |        887 |
| plugins\codemirror\mode\mathematica                                                             |          1 |        118 |         30 |         29 |        177 |
| plugins\codemirror\mode\mbox                                                                    |          1 |        102 |         11 |         17 |        130 |
| plugins\codemirror\mode\mirc                                                                    |          1 |        186 |          3 |          5 |        194 |
| plugins\codemirror\mode\mllike                                                                  |          1 |        326 |          9 |         25 |        360 |
| plugins\codemirror\mode\modelica                                                                |          1 |        190 |         14 |         42 |        246 |
| plugins\codemirror\mode\mscgen                                                                  |          1 |        143 |         13 |         20 |        176 |
| plugins\codemirror\mode\mumps                                                                   |          1 |        102 |         21 |         26 |        149 |
| plugins\codemirror\mode\nginx                                                                   |          1 |        150 |          3 |         26 |        179 |
| plugins\codemirror\mode\nsis                                                                    |          1 |         45 |         31 |         20 |         96 |
| plugins\codemirror\mode\ntriples                                                                |          1 |        139 |         39 |         18 |        196 |
| plugins\codemirror\mode\octave                                                                  |          1 |        104 |          9 |         27 |        140 |
| plugins\codemirror\mode\oz                                                                      |          1 |        191 |         19 |         43 |        253 |
| plugins\codemirror\mode\pascal                                                                  |          1 |        120 |          3 |         14 |        137 |
| plugins\codemirror\mode\pegjs                                                                   |          1 |        103 |          4 |          8 |        115 |
| plugins\codemirror\mode\perl                                                                    |          1 |        800 |         22 |         16 |        838 |
| plugins\codemirror\mode\php                                                                     |          1 |        209 |          9 |         17 |        235 |
| plugins\codemirror\mode\pig                                                                     |          1 |        136 |         24 |         19 |        179 |
| plugins\codemirror\mode\powershell                                                              |          1 |        343 |          9 |         47 |        399 |
| plugins\codemirror\mode\properties                                                              |          1 |         62 |          3 |         14 |         79 |
| plugins\codemirror\mode\protobuf                                                                |          1 |         51 |          8 |         14 |         73 |
| plugins\codemirror\mode\pug                                                                     |          1 |        507 |         20 |         65 |        592 |
| plugins\codemirror\mode\puppet                                                                  |          1 |        155 |         55 |         11 |        221 |
| plugins\codemirror\mode\python                                                                  |          1 |        319 |         26 |         55 |        400 |
| plugins\codemirror\mode\q                                                                       |          1 |        133 |          3 |          4 |        140 |
| plugins\codemirror\mode\r                                                                       |          1 |        170 |          4 |         17 |        191 |
| plugins\codemirror\mode\rpm                                                                     |          1 |         86 |          6 |         18 |        110 |
| plugins\codemirror\mode\rst                                                                     |          1 |        457 |         26 |         75 |        558 |
| plugins\codemirror\mode\ruby                                                                    |          1 |        118 |        176 |         10 |        304 |
| plugins\codemirror\mode\rust                                                                    |          1 |         60 |          7 |          6 |         73 |
| plugins\codemirror\mode\sas                                                                     |          1 |        221 |         52 |         31 |        304 |
| plugins\codemirror\mode\sass                                                                    |          1 |        112 |        319 |         24 |        455 |
| plugins\codemirror\mode\scheme                                                                  |          1 |        213 |         20 |         33 |        266 |
| plugins\codemirror\mode\shell                                                                   |          1 |        147 |          4 |         18 |        169 |
| plugins\codemirror\mode\sieve                                                                   |          1 |        144 |         10 |         40 |        194 |
| plugins\codemirror\mode\slim                                                                    |          1 |        527 |         10 |         39 |        576 |
| plugins\codemirror\mode\smalltalk                                                               |          1 |        128 |          2 |         39 |        169 |
| plugins\codemirror\mode\smarty                                                                  |          1 |        200 |          7 |         19 |        226 |
| plugins\codemirror\mode\solr                                                                    |          1 |         86 |          2 |         17 |        105 |
| plugins\codemirror\mode\soy                                                                     |          1 |        518 |         70 |         50 |        638 |
| plugins\codemirror\mode\sparql                                                                  |          1 |        171 |          2 |         18 |        191 |
| plugins\codemirror\mode\spreadsheet                                                             |          1 |         96 |          7 |         10 |        113 |
| plugins\codemirror\mode\sql                                                                     |          1 |        315 |        160 |         29 |        504 |
| plugins\codemirror\mode\stex                                                                    |          1 |        221 |         16 |         28 |        265 |
| plugins\codemirror\mode\stylus                                                                  |          1 |        609 |         98 |         69 |        776 |
| plugins\codemirror\mode\swift                                                                   |          1 |         50 |        166 |          8 |        224 |
| plugins\codemirror\mode\tcl                                                                     |          1 |        133 |          3 |          5 |        141 |
| plugins\codemirror\mode\textile                                                                 |          1 |        400 |          2 |         68 |        470 |
| plugins\codemirror\mode\tiddlywiki                                                              |          2 |        244 |         35 |         45 |        324 |
| plugins\codemirror\mode\tiki                                                                    |          2 |        296 |          9 |         34 |        339 |
| plugins\codemirror\mode\toml                                                                    |          1 |         79 |          5 |          5 |         89 |
| plugins\codemirror\mode\tornado                                                                 |          1 |         61 |          2 |          6 |         69 |
| plugins\codemirror\mode\troff                                                                   |          1 |         72 |          2 |         11 |         85 |
| plugins\codemirror\mode\ttcn                                                                    |          1 |        249 |          4 |         31 |        284 |
| plugins\codemirror\mode\ttcn-cfg                                                                |          1 |        197 |          4 |         13 |        214 |
| plugins\codemirror\mode\turtle                                                                  |          1 |        142 |          2 |         19 |        163 |
| plugins\codemirror\mode\twig                                                                    |          1 |        124 |          8 |         10 |        142 |
| plugins\codemirror\mode\vb                                                                      |          1 |        210 |         19 |         47 |        276 |
| plugins\codemirror\mode\vbscript                                                                |          1 |        255 |         34 |         62 |        351 |
| plugins\codemirror\mode\velocity                                                                |          1 |        173 |         17 |         12 |        202 |
| plugins\codemirror\mode\verilog                                                                 |          1 |        598 |        126 |         58 |        782 |
| plugins\codemirror\mode\vhdl                                                                    |          1 |        168 |          4 |         18 |        190 |
| plugins\codemirror\mode\vue                                                                     |          1 |         71 |          2 |          5 |         78 |
| plugins\codemirror\mode\wast                                                                    |          1 |         31 |          4 |          7 |         42 |
| plugins\codemirror\mode\webidl                                                                  |          1 |        153 |         16 |         27 |        196 |
| plugins\codemirror\mode\xml                                                                     |          1 |        382 |          5 |         27 |        414 |
| plugins\codemirror\mode\xquery                                                                  |          1 |        331 |         58 |         60 |        449 |
| plugins\codemirror\mode\yacas                                                                   |          1 |        150 |         19 |         36 |        205 |
| plugins\codemirror\mode\yaml                                                                    |          1 |         92 |         16 |         13 |        121 |
| plugins\codemirror\mode\yaml-frontmatter                                                        |          1 |         60 |          3 |          6 |         69 |
| plugins\codemirror\mode\z80                                                                     |          1 |         99 |          2 |         16 |        117 |
| plugins\codemirror\theme                                                                        |         63 |      2,324 |        350 |        497 |      3,171 |
| plugins\datatables                                                                              |          2 |      6,564 |      7,001 |      1,988 |     15,553 |
| plugins\datatables-autofill                                                                     |          6 |        856 |        299 |        228 |      1,383 |
| plugins\datatables-autofill\css                                                                 |          2 |         87 |          0 |          7 |         94 |
| plugins\datatables-autofill\js                                                                  |          4 |        769 |        299 |        221 |      1,289 |
| plugins\datatables-bs4                                                                          |          4 |        337 |         30 |         40 |        407 |
| plugins\datatables-bs4\css                                                                      |          2 |        202 |          0 |         11 |        213 |
| plugins\datatables-bs4\js                                                                       |          2 |        135 |         30 |         29 |        194 |
| plugins\datatables-buttons                                                                      |         14 |      4,240 |        775 |        885 |      5,900 |
| plugins\datatables-buttons\css                                                                  |          2 |        191 |          0 |          7 |        198 |
| plugins\datatables-buttons\js                                                                   |         12 |      4,049 |        775 |        878 |      5,702 |
| plugins\datatables-colreorder                                                                   |          6 |        864 |        482 |        235 |      1,581 |
| plugins\datatables-colreorder\css                                                               |          2 |         11 |          0 |          3 |         14 |
| plugins\datatables-colreorder\js                                                                |          4 |        853 |        482 |        232 |      1,567 |
| plugins\datatables-fixedcolumns                                                                 |          6 |      1,065 |        525 |        248 |      1,838 |
| plugins\datatables-fixedcolumns\css                                                             |          2 |         60 |          0 |          7 |         67 |
| plugins\datatables-fixedcolumns\js                                                              |          4 |      1,005 |        525 |        241 |      1,771 |
| plugins\datatables-fixedheader                                                                  |          6 |        512 |        184 |        128 |        824 |
| plugins\datatables-fixedheader\css                                                              |          2 |         18 |          0 |          5 |         23 |
| plugins\datatables-fixedheader\js                                                               |          4 |        494 |        184 |        123 |        801 |
| plugins\datatables-keytable                                                                     |          6 |        819 |        309 |        228 |      1,356 |
| plugins\datatables-keytable\css                                                                 |          2 |          9 |          0 |          3 |         12 |
| plugins\datatables-keytable\js                                                                  |          4 |        810 |        309 |        225 |      1,344 |
| plugins\datatables-responsive                                                                   |          6 |      1,159 |        402 |        233 |      1,794 |
| plugins\datatables-responsive\css                                                               |          2 |        189 |          0 |          4 |        193 |
| plugins\datatables-responsive\js                                                                |          4 |        970 |        402 |        229 |      1,601 |
| plugins\datatables-rowgroup                                                                     |          6 |        310 |        159 |         98 |        567 |
| plugins\datatables-rowgroup\css                                                                 |          2 |         18 |          0 |          5 |         23 |
| plugins\datatables-rowgroup\js                                                                  |          4 |        292 |        159 |         93 |        544 |
| plugins\datatables-rowreorder                                                                   |          6 |        496 |        270 |        144 |        910 |
| plugins\datatables-rowreorder\css                                                               |          2 |         20 |          0 |          5 |         25 |
| plugins\datatables-rowreorder\js                                                                |          4 |        476 |        270 |        139 |        885 |
| plugins\datatables-scroller                                                                     |          6 |        751 |        465 |        199 |      1,415 |
| plugins\datatables-scroller\css                                                                 |          2 |         36 |          0 |          3 |         39 |
| plugins\datatables-scroller\js                                                                  |          4 |        715 |        465 |        196 |      1,376 |
| plugins\datatables-searchpanes                                                                  |          6 |      2,628 |        471 |         31 |      3,130 |
| plugins\datatables-searchpanes\css                                                              |          2 |        327 |          0 |         23 |        350 |
| plugins\datatables-searchpanes\js                                                               |          4 |      2,301 |        471 |          8 |      2,780 |
| plugins\datatables-select                                                                       |          6 |        908 |        277 |        213 |      1,398 |
| plugins\datatables-select\css                                                                   |          2 |        114 |          0 |          4 |        118 |
| plugins\datatables-select\js                                                                    |          4 |        794 |        277 |        209 |      1,280 |
| plugins\daterangepicker                                                                         |          2 |      1,507 |        116 |        367 |      1,990 |
| plugins\dropzone                                                                                |          8 |      5,207 |      1,075 |      1,191 |      7,473 |
| plugins\dropzone (Files)                                                                        |          4 |      5,203 |      1,075 |      1,189 |      7,467 |
| plugins\dropzone\min                                                                            |          4 |          4 |          0 |          2 |          6 |
| plugins\ekko-lightbox                                                                           |          3 |        527 |         49 |         97 |        673 |
| plugins\fastclick                                                                               |          1 |        400 |        277 |        165 |        842 |
| plugins\filterizr                                                                               |          3 |          7 |         46 |          0 |         53 |
| plugins\flag-icon-css                                                                           |        518 |     36,973 |          0 |        518 |     37,491 |
| plugins\flag-icon-css\css                                                                       |          2 |      1,569 |          0 |          2 |      1,571 |
| plugins\flag-icon-css\flags                                                                     |        516 |     35,404 |          0 |        516 |     35,920 |
| plugins\flag-icon-css\flags\1x1                                                                 |        258 |     17,741 |          0 |        258 |     17,999 |
| plugins\flag-icon-css\flags\4x3                                                                 |        258 |     17,663 |          0 |        258 |     17,921 |
| plugins\flot                                                                                    |         26 |      5,469 |      1,194 |      1,086 |      7,749 |
| plugins\flot (Files)                                                                            |          1 |          1 |          1 |          1 |          3 |
| plugins\flot\plugins                                                                            |         25 |      5,468 |      1,193 |      1,085 |      7,746 |
| plugins\fontawesome-free                                                                        |         17 |     17,645 |         60 |      3,679 |     21,384 |
| plugins\fontawesome-free\css                                                                    |         14 |      8,099 |         60 |      3,676 |     11,835 |
| plugins\fontawesome-free\webfonts                                                               |          3 |      9,546 |          0 |          3 |      9,549 |
