Date : 2023-05-13 09:50:15
Directory : c:\xampp\htdocs\charity
Total : 1989 files,  545970 codes, 77220 comments, 88068 blanks, all 711258 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tf.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tg.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\th.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tj.svg                                  | XML          |         26 |          0 |          1 |         27 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tk.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tl.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tm.svg                                  | XML          |        203 |          0 |          1 |        204 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tn.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\to.svg                                  | XML          |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tr.svg                                  | XML          |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tt.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tv.svg                                  | XML          |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tw.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\tz.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\ua.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\ug.svg                                  | XML          |         30 |          0 |          1 |         31 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\um.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\un.svg                                  | XML          |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\us.svg                                  | XML          |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\uy.svg                                  | XML          |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\uz.svg                                  | XML          |         30 |          0 |          1 |         31 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\va.svg                                  | XML          |        479 |          0 |          1 |        480 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\vc.svg                                  | XML          |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\ve.svg                                  | XML          |         26 |          0 |          1 |         27 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\vg.svg                                  | XML          |        128 |          0 |          1 |        129 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\vi.svg                                  | XML          |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\vn.svg                                  | XML          |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\vu.svg                                  | XML          |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\wf.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\ws.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\xk.svg                                  | XML          |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\ye.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\yt.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\za.svg                                  | XML          |         17 |          0 |          1 |         18 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\zm.svg                                  | XML          |         27 |          0 |          1 |         28 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\1x1\zw.svg                                  | XML          |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ad.svg                                  | XML          |        150 |          0 |          1 |        151 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ae.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\af.svg                                  | XML          |         81 |          0 |          1 |         82 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ag.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ai.svg                                  | XML          |        763 |          0 |          1 |        764 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\al.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\am.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ao.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\aq.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ar.svg                                  | XML          |         31 |          0 |          1 |         32 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\as.svg                                  | XML          |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\at.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\au.svg                                  | XML          |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\aw.svg                                  | XML          |        186 |          0 |          1 |        187 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ax.svg                                  | XML          |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\az.svg                                  | XML          |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ba.svg                                  | XML          |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bb.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bd.svg                                  | XML          |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\be.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bf.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bg.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bh.svg                                  | XML          |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bi.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bj.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bl.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bm.svg                                  | XML          |         98 |          0 |          1 |         99 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bn.svg                                  | XML          |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bo.svg                                  | XML          |        676 |          0 |          1 |        677 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bq.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\br.svg                                  | XML          |         45 |          0 |          1 |         46 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bs.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bt.svg                                  | XML          |         89 |          0 |          1 |         90 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bv.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bw.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\by.svg                                  | XML          |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\bz.svg                                  | XML          |        145 |          0 |          1 |        146 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ca.svg                                  | XML          |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cc.svg                                  | XML          |         19 |          0 |          1 |         20 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cd.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cf.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cg.svg                                  | XML          |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ch.svg                                  | XML          |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ci.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ck.svg                                  | XML          |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cl.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cm.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cn.svg                                  | XML          |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\co.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cr.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cu.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cv.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cw.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cx.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cy.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\cz.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\de.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\dj.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\dk.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\dm.svg                                  | XML          |        152 |          0 |          1 |        153 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\do.svg                                  | XML          |      6,745 |          0 |          1 |      6,746 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\dz.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ec.svg                                  | XML          |        138 |          0 |          1 |        139 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ee.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\eg.svg                                  | XML          |         38 |          0 |          1 |         39 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\eh.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\er.svg                                  | XML          |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\es-ca.svg                               | XML          |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\es-ga.svg                               | XML          |        189 |          0 |          1 |        190 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\es.svg                                  | XML          |        544 |          0 |          1 |        545 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\et.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\eu.svg                                  | XML          |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\fi.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\fj.svg                                  | XML          |        122 |          0 |          1 |        123 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\fk.svg                                  | XML          |         90 |          0 |          1 |         91 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\fm.svg                                  | XML          |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\fo.svg                                  | XML          |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\fr.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ga.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gb-eng.svg                              | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gb-nir.svg                              | XML          |        132 |          0 |          1 |        133 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gb-sct.svg                              | XML          |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gb-wls.svg                              | XML          |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gb.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gd.svg                                  | XML          |         27 |          0 |          1 |         28 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ge.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gf.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gg.svg                                  | XML          |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gh.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gi.svg                                  | XML          |         32 |          0 |          1 |         33 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gl.svg                                  | XML          |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gm.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gn.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gp.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gq.svg                                  | XML          |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gr.svg                                  | XML          |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gs.svg                                  | XML          |        201 |          0 |          1 |        202 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gt.svg                                  | XML          |        204 |          0 |          1 |        205 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gu.svg                                  | XML          |         39 |          0 |          1 |         40 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gw.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\gy.svg                                  | XML          |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\hk.svg                                  | XML          |         30 |          0 |          1 |         31 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\hm.svg                                  | XML          |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\hn.svg                                  | XML          |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\hr.svg                                  | XML          |         58 |          0 |          1 |         59 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ht.svg                                  | XML          |        116 |          0 |          1 |        117 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\hu.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\id.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ie.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\il.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\im.svg                                  | XML          |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\in.svg                                  | XML          |         25 |          0 |          1 |         26 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\io.svg                                  | XML          |        138 |          0 |          1 |        139 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\iq.svg                                  | XML          |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ir.svg                                  | XML          |        219 |          0 |          1 |        220 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\is.svg                                  | XML          |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\it.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\je.svg                                  | XML          |         29 |          0 |          1 |         30 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\jm.svg                                  | XML          |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\jo.svg                                  | XML          |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\jp.svg                                  | XML          |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ke.svg                                  | XML          |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\kg.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\kh.svg                                  | XML          |         61 |          0 |          1 |         62 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ki.svg                                  | XML          |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\km.svg                                  | XML          |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\kn.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\kp.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\kr.svg                                  | XML          |         24 |          0 |          1 |         25 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\kw.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ky.svg                                  | XML          |         63 |          0 |          1 |         64 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\kz.svg                                  | XML          |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\la.svg                                  | XML          |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\lb.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\lc.svg                                  | XML          |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\li.svg                                  | XML          |         43 |          0 |          1 |         44 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\lk.svg                                  | XML          |         22 |          0 |          1 |         23 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\lr.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ls.svg                                  | XML          |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\lt.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\lu.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\lv.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ly.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ma.svg                                  | XML          |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mc.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\md.svg                                  | XML          |         70 |          0 |          1 |         71 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\me.svg                                  | XML          |        116 |          0 |          1 |        117 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mf.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mg.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mh.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mk.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ml.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mm.svg                                  | XML          |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mn.svg                                  | XML          |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mo.svg                                  | XML          |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mp.svg                                  | XML          |         86 |          0 |          1 |         87 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mq.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mr.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ms.svg                                  | XML          |         78 |          0 |          1 |         79 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mt.svg                                  | XML          |         49 |          0 |          1 |         50 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mu.svg                                  | XML          |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mv.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mw.svg                                  | XML          |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mx.svg                                  | XML          |        382 |          0 |          1 |        383 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\my.svg                                  | XML          |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\mz.svg                                  | XML          |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\na.svg                                  | XML          |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\nc.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ne.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\nf.svg                                  | XML          |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ng.svg                                  | XML          |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\ni.svg                                  | XML          |        129 |          0 |          1 |        130 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\nl.svg                                  | XML          |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\no.svg                                  | XML          |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\np.svg                                  | XML          |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\nr.svg                                  | XML          |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\charity\plugins\flag-icon-css\flags\4x3\nu.svg                                  | XML          |         26 |          0 |          1 |         27 |
